0x0E04,PT_STRING8,PR_DISPLAY_TO_A,PidTagDisplayTo
0x0E04,PT_UNICODE,PR_DISPLAY_TO_W,PidTagDisplayTo
0x0E05,PT_TSTRING,PR_PARENT_DISPLAY,PidTagParentDisplay
0x0E05,PT_STRING8,PR_PARENT_DISPLAY_A,PidTagParentDisplay
0x0E05,PT_UNICODE,PR_PARENT_DISPLAY_W,PidTagParentDisplay
0x0E06,PT_SYSTIME,PR_MESSAGE_DELIVERY_TIME,PidTagMessageDeliveryTime
0x0E07,PT_LONG,PR_MESSAGE_FLAGS,PidTagMessageFlags
0x0E08,PT_LONG,PR_MESSAGE_SIZE,PidTagMessageSize
0x0E09,PT_BINARY,PR_PARENT_ENTRYID,PidTagParentEntryId
0x0E0A,PT_BINARY,PR_SENTMAIL_ENTRYID,PidTagSentMailEntryId
0x0E0C,PT_BOOLEAN,PR_CORRELATE,PidTagCorrelate
0x0E0D,PT_BINARY,PR_CORRELATE_MTSID,PidTagCorrelateMtsid
0x0E0E,PT_BOOLEAN,PR_DISCRETE_VALUES,PidTagDiscreteValues
0x0E0F,PT_BOOLEAN,PR_RESPONSIBILITY,PidTagResponsibility
0x0E10,PT_LONG,PR_SPOOLER_STATUS,PidTagSpoolerStatus
0x0E11,PT_LONG,PR_TRANSPORT_STATUS,
0x0E12,PT_OBJECT,PR_MESSAGE_RECIPIENTS,PidTagMessageRecipients
0x0E13,PT_OBJECT,PR_MESSAGE_ATTACHMENTS,PidTagMessageAttachments
0x0E14,PT_LONG,PR_SUBMIT_FLAGS,PidTagSubmitFlags
0x0E15,PT_LONG,PR_RECIPIENT_STATUS,PidTagRecipientStatus
0x0E16,PT_LONG,PR_TRANSPORT_KEY,PidTagTransportKey
0x0E17,PT_LONG,PR_MSG_STATUS,PidTagMessageStatus
0x0E18,PT_LONG,PR_MESSAGE_DOWNLOAD_TIME,PidTagMessageDownloadTime
0x0E19,PT_I8,PR_CREATION_VERSION,
0x0E1A,PT_I8,PR_MODIFY_VERSION,PidTagMessageEditorFormat
0x0E1B,PT_BOOLEAN,PR_HASATTACH,PidTagHasAttachments
0x0E1C,PT_LONG,PR_BODY_CRC,PidTagBodyCrc
0x0E1D,PT_TSTRING,PR_NORMALIZED_SUBJECT,PidTagNormalizedSubject
0x0E1D,PT_STRING8,PR_NORMALIZED_SUBJECT_A,PidTagNormalizedSubject
0x0E1D,PT_UNICODE,PR_NORMALIZED_SUBJECT_W,PidTagNormalizedSubject
0x0E1F,PT_BOOLEAN,PR_RTF_IN_SYNC,PidTagRtfInSync
